Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Locality	Locality OSM ID	County/State	County/State OSM ID	Country	Country OSM ID
322674	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	18/05/2022	21/05/2022			43.65	-116.65	{"region": "Americas", "subregion": "Northern America", "country": "United States of America", "admin_level_1": "Idaho", "locality": "Canyon County"}	Caldwell	R121336	US-ID	R162116	United States	R148838
322838	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Duck	15/05/2022	24/05/2022			44.726756	0.257752	{"region": "Europe", "subregion": "Western Europe", "country": "France", "admin_level_1": "Aquitaine", "locality": "SAINT-ASTIER"}	Saint-Astier	R2981277	FR-NAQ	R3792880	France	R2202162
323532	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	13/05/2022	26/05/2022			43.576	-116.354	{"region": "Americas", "subregion": "Northern America", "country": "United States of America", "admin_level_1": "Idaho", "locality": "Ada County"}	Meridian	R121369	US-ID	R162116	United States	R148838
322440	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	09/05/2022	19/05/2022			46.518168	19.678617	{"region": "Europe", "subregion": "Eastern Europe", "country": "Hungary", "admin_level_1": "Bacs-kiskun", "locality": "Kiskunmajsa"}	Kiskunmajsa	R1130387	South Great Plain	R22719	Hungary	R21335
322477	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/05/2022	19/05/2022			46.532906	19.82251	{"region": "Europe", "subregion": "Eastern Europe", "country": "Hungary", "admin_level_1": "Csongrad", "locality": "Csengele"}	Csengele	R1025044	South Great Plain	R22719	Hungary	R21335
321629	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/05/2022	06/05/2022			49.89	-112.7	{"region": "Americas", "subregion": "Northern America", "country": "Canada", "admin_level_1": "Alberta", "locality": "Lethbridge County (AB-IP23)"}		R15693032	CA-AB	R391186	Canada	R1428125
322695	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	01/05/2022	24/05/2022			46.49305	19.77214	{"region": "Europe", "subregion": "Eastern Europe", "country": "Hungary", "admin_level_1": "Bacs-kiskun", "locality": "Kiskunmajsa"}	Kiskunmajsa	R1130387	South Great Plain	R22719	Hungary	R21335
322840	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Duck	25/04/2022	24/05/2022			46.713722	-0.497662	{"region": "Europe", "subregion": "Western Europe", "country": "France", "admin_level_1": "Poitou-Charentes", "locality": "CHAPELLE-SAINT-LAURENT"}	La Chapelle-Saint-Laurent	R149715	FR-NAQ	R3792880	France	R2202162
321571	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	23/04/2022	06/05/2022			53.51	-110.14	{"region": "Americas", "subregion": "Northern America", "country": "Canada", "admin_level_1": "Alberta", "locality": "Vermilion River County (AB-IP19)"}		R8438683	CA-AB	R391186	Canada	R1428125
321136	Influenza - Avian	H5N1 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	21/04/2022	02/05/2022			44.676438	1.105486	{"region": "Europe", "subregion": "Western Europe", "country": "France", "admin_level_1": "Aquitaine", "locality": "BESSE"}	Besse	R2547473	FR-NAQ	R3792880	France	R2202162
