tax_id	distance	subtxpath	sublineage
263	0	{263}	{"Francisella tularensis"}
1367846	1	{263,1367846}	{"Francisella tularensis","Francisella tularensis 99A-2628"}
545771	1	{263,545771}	{"Francisella tularensis","Francisella tularensis B-SA"}
119857	1	{263,119857}	{"Francisella tularensis","Francisella tularensis subsp. holarctica"}
135248	1	{263,135248}	{"Francisella tularensis","Francisella tularensis subsp. mediasiatica"}
264	1	{263,264}	{"Francisella tularensis","Francisella tularensis subsp. novicida"}
119856	1	{263,119856}	{"Francisella tularensis","Francisella tularensis subsp. tularensis"}
412422	2	{263,119857,412422}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica 257"}
1244086	2	{263,119857,1244086}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica BD11-00177"}
1232394	2	{263,119857,1232394}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica F92"}
1088870	2	{263,119857,1088870}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FSC021"}
430556	2	{263,119857,430556}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FSC022"}
1160704	2	{263,119857,1160704}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FSC162"}
351581	2	{263,119857,351581}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FSC200"}
1089440	2	{263,119857,1089440}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FSC208"}
1088884	2	{263,119857,1088884}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FSC539"}
458234	2	{263,119857,458234}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica FTNF002-00"}
491121	2	{263,119857,491121}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica KO971026"}
376619	2	{263,119857,376619}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica LVS"}
491122	2	{263,119857,491122}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica MI001730"}
491123	2	{263,119857,491123}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica OR96246"}
393011	2	{263,119857,393011}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica OSU18"}
1432652	2	{263,119857,1432652}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica PHIT-FT049"}
491125	2	{263,119857,491125}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica RC503"}
445226	2	{263,119857,445226}	{"Francisella tularensis","Francisella tularensis subsp. holarctica","Francisella tularensis subsp. holarctica URFT1"}
1405290	2	{263,135248,1405290}	{"Francisella tularensis","Francisella tularensis subsp. mediasiatica","Francisella tularensis subsp. mediasiatica 554"}
441952	2	{263,135248,441952}	{"Francisella tularensis","Francisella tularensis subsp. mediasiatica","Francisella tularensis subsp. mediasiatica FSC147"}
1088877	2	{263,135248,1088877}	{"Francisella tularensis","Francisella tularensis subsp. mediasiatica","Francisella tularensis subsp. mediasiatica FSC148"}
984129	2	{263,264,984129}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella cf. novicida Fx1"}
676032	2	{263,264,676032}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella cf. tularensis subsp. novicida 3523"}
1450527	2	{263,264,1450527}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida D9876"}
1452728	2	{263,264,1452728}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida F6168"}
1088879	2	{263,264,1088879}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida FSC159"}
1088880	2	{263,264,1088880}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida FSC160"}
1088885	2	{263,264,1088885}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida FSC595"}
545422	2	{263,264,545422}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida FTE"}
563990	2	{263,264,563990}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida FTG"}
442346	2	{263,264,442346}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida GA99-3548"}
430558	2	{263,264,430558}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida GA99-3549"}
1386968	2	{263,264,1386968}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida PA10-7858"}
401614	2	{263,264,401614}	{"Francisella tularensis","Francisella tularensis subsp. novicida","Francisella tularensis subsp. novicida U112"}
1292389	2	{263,119856,1292389}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 1378"}
1292388	2	{263,119856,1292388}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 3571"}
1208319	2	{263,119856,1208319}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 70001275"}
1210518	2	{263,119856,1210518}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 70102010"}
1292390	2	{263,119856,1292390}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 79201237"}
1292391	2	{263,119856,1292391}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 80700069"}
1210520	2	{263,119856,1210520}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 80700075"}
1210519	2	{263,119856,1210519}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 80700103"}
1210521	2	{263,119856,1210521}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis 831"}
1288063	2	{263,119856,1288063}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis AK96-2888"}
1288055	2	{263,119856,1288055}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis AR00-0028"}
1210522	2	{263,119856,1210522}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis AS_713"}
491120	2	{263,119856,491120}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis ATCC 6223"}
1288065	2	{263,119856,1288065}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis CO00-3111"}
430557	2	{263,119856,430557}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis FSC033"}
701178	2	{263,119856,701178}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis FSC043"}
1088874	2	{263,119856,1088874}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis FSC054"}
393115	2	{263,119856,393115}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis FSC198"}
1288059	2	{263,119856,1288059}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis GA02-5383"}
1288058	2	{263,119856,1288058}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis IL00-4351"}
543737	2	{263,119856,543737}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis MA00-2987"}
1288060	2	{263,119856,1288060}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis MD00-2970"}
1288061	2	{263,119856,1288061}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis MI01-2654"}
1288056	2	{263,119856,1288056}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis MO02-4195"}
1288062	2	{263,119856,1288062}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis NC98-3428"}
1288057	2	{263,119856,1288057}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis NE03-1457"}
510831	2	{263,119856,510831}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis NE061598"}
1288064	2	{263,119856,1288064}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis OK00-2732"}
1288054	2	{263,119856,1288054}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis OK01-2528"}
177416	2	{263,119856,177416}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4"}
1001534	2	{263,119856,1001534}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis TI0902"}
1133671	2	{263,119856,1133671}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis WY-00W4114"}
418136	2	{263,119856,418136}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis WY96-3418"}
1341660	3	{263,119856,177416,1341660}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4","Francisella tularensis subsp. tularensis str. SCHU S4 substr. FSC237"}
1341661	3	{263,119856,177416,1341661}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4","Francisella tularensis subsp. tularensis str. SCHU S4 substr. FTS-634/635"}
1341657	3	{263,119856,177416,1341657}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4","Francisella tularensis subsp. tularensis str. SCHU S4 substr. NR-10492"}
1341656	3	{263,119856,177416,1341656}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4","Francisella tularensis subsp. tularensis str. SCHU S4 substr. NR-28534"}
1341658	3	{263,119856,177416,1341658}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4","Francisella tularensis subsp. tularensis str. SCHU S4 substr. NR-643"}
1341659	3	{263,119856,177416,1341659}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis SCHU S4","Francisella tularensis subsp. tularensis str. SCHU S4 substr. SL"}
1001542	3	{263,119856,1001534,1001542}	{"Francisella tularensis","Francisella tularensis subsp. tularensis","Francisella tularensis subsp. tularensis TI0902","Francisella tularensis subsp. tularensis TIGB03"}
